timestep,Area,Mass,Rac_Max_Min
0,1.0,2.0,0.0
1,1.0,1.9999999999999998,0.004310419745847338
2,1.000000000033004,1.9999999941966025,0.007949412804129224
3,1.0000000002914375,1.9999999915508038,0.011205049960766433
4,1.0000000018863553,1.9999999894562421,0.01410750194989252
5,1.0000000098836352,1.9999999879119785,0.01677168156542652
6,1.0000000434829313,1.9999999870128164,0.019345382026248026
7,1.0000001655173332,1.99999998710239,0.021998964991898795
8,1.0000005607133098,1.9999999889691158,0.024915683582380277
9,1.0000017357844606,1.9999999943112488,0.028284442312696556
10,1.000005030711178,2.000000006819406,0.03229149468628245
11,1.0000139457154387,2.000000034637236,0.037102364604507776
12,1.0000376176982173,2.0000000961661004,0.04282279100563424
13,1.0000996316498934,2.0000002346457113,0.049440434109953135
14,1.0002568839655581,2.0000005584546456,0.056792321159013115
15,1.0006195294491307,2.0000013611329024,0.06465419663617988
16,1.0013108550982028,2.0000034004859844,0.07254623643338576
17,1.0023493581285758,2.0000080002762832,0.08003636422619054
18,1.0036351795307867,2.000016172203256,0.08662140843946697
19,1.0050543806725993,2.0000278344393654,0.09199693352107396
20,1.0065350662581025,2.000042314629139,0.0961066143538789
21,1.0080416979154003,2.0000589791301326,0.09905814976745808
22,1.0095581060623566,2.0000773971101466,0.10099511678102813
23,1.0110769508337023,2.000097300435503,0.10210231218804333
24,1.0125947837847924,2.000118521707173,0.10255043864247804
25,1.014109903585219,2.0001409515593123,0.10248519202177775
26,1.0156214258261491,2.0001645138082726,0.10202597035133665
27,1.017128867181791,2.0001891516345456,0.10126852521338625
28,1.0186319514133293,2.0002148199186296,0.10028876462325265
29,1.020130514541078,2.0002414809233118,0.09914650171236383
30,1.021624456278234,2.000269101802551,0.0978887156471786
31,1.0231137140223934,2.0002976531203283,0.09655223338357022
32,1.0245982483339504,2.000327107939666,0.09516587553313371
33,1.0260780345097347,2.0003574412391982,0.09375215106008228
34,1.0275530575177854,2.000388629525486,0.09232858843537373
35,1.0290233088526617,2.0004206505625373,0.09090878003032299
36,1.0304887845245674,2.000453483176137,0.08950320249489407
37,1.031949483738192,2.0004871071065575,0.08811986270537275
38,1.0334054080027124,2.000521502894155,0.08676480784284712
39,1.034856560518223,2.000556651788176,0.08544252938887809
40,1.0363029457434363,2.0005925356723937,0.08415628401629416
41,1.0377445690848595,2.0006291370032514,0.08290834912904099
42,1.0391814366689474,2.0006664387584063,0.08170022681510813
43,1.0406135551719558,2.000704424392425,0.0806952316544316
44,1.0420409316906958,2.000743077799784,0.07976528929448357
45,1.043463573642628,2.0007823832819285,0.0788681240355742
46,1.0448814886874493,2.000822325519844,0.0780037464526091
47,1.0462946846645496,2.0008628895495475,0.07717194558110863
48,1.0477031695424128,2.0009040607408064,0.07637233987181724
49,1.0491069513771172,2.0009458247785763,0.07560441814136798
50,1.050506038277799,2.000988167646517,0.07486757245318909
51,1.051900438377612,2.001031075612339,0.07416112448077516
52,1.053290159808925,2.0010745352148476,0.07348434660297687
53,1.0546752106819488,2.001118533252347,0.07283647873917354
54,1.0560555990661176,2.0011630567721914,0.07221674173766268
55,1.0574313329736262,2.00120809306146,0.07162434797525896
56,1.0588024203447959,2.0012536296382617,0.07105850970130412
57,1.0601688690348767,2.001299654243734,0.0705184455572272
58,1.0615306868020433,2.0013461548351135,0.07000338562223662
59,1.0628878812964142,2.0013931195787142,0.06951257526909393
60,1.0642404600498132,2.0014405368441817,0.0690452780609252
61,1.0655884304662468,2.001488395198047,0.06860077787614771
62,1.0669317998129038,2.0015366833990926,0.06817838041411028
63,1.0682705752115962,2.001585390392419,0.0677774142050136
64,1.0696047636305666,2.001634505305047,0.0673972312244906
65,1.0709343718766087,2.0016840174410904,0.0670372071946852
66,1.0722594065873619,2.0017339162772814,0.06669674163798955
67,1.0735798742238274,2.0017841914586008,0.06637525773703823
68,1.0748957810630517,2.0018348327946325,0.06607220204472775
69,1.0762071331907967,2.0018858302548157,0.06578704407966174
70,1.077513936494415,2.0019371739653318,0.06551927583480555
71,1.0788161966556402,2.001988854204595,0.06526841122348803
72,1.0801139191435183,2.0020408614004546,0.06503398548001993
73,1.081407109207174,2.0020931861259514,0.06481807392533345
74,1.0826957718687167,2.0021458190959938,0.06461914262680035
75,1.0839799119159896,2.002198751164041,0.06443532650143147
76,1.0852595338953384,2.0022519733185917,0.06426624378305812
77,1.0865346421042388,2.002305476680218,0.0641115304753419
78,1.0878052405839413,2.0023592524980107,0.06397083973236439
79,1.0890713331119404,2.0024132921465343,0.0638438412496718
80,1.090332923194414,2.0024675871225095,0.06373022066905532
81,1.091590014058552,2.002522129042173,0.06362967899871741
82,1.0928426086447274,2.0025769096378134,0.06354193205052105
83,1.0940907095986412,2.002631920754934,0.06346670989520753
84,1.0953343192632778,2.0026871543492644,0.06340375633648754
85,1.0965734396707896,2.002742602483889,0.06335282840397105
86,1.0978080725342159,2.0027982573264542,0.06331369586550184
87,1.0990382192391301,2.0028541111460827,0.06328614075841354
88,1.1002638808351057,2.0029101563107825,0.06326995694006343
89,1.1014850580270807,2.0029663852845943,0.06326494965666951
90,1.1027017511666013,2.0030227906248306,0.06327093513061932
91,1.1039139602428945,2.0030793649793273,0.0632877401655314
92,1.1051216848738603,2.0031361010838973,0.06331520176865935
93,1.1063249242968989,2.003192991759466,0.06335316679000713
94,1.1075236773596036,2.003250029909627,0.06340149157765129
95,1.10871794251034,2.00330720851807,0.06346004164885888
96,1.1099077177887067,2.0033645206458472,0.06352869137604822
97,1.1110930008158202,2.0034219594289238,0.06360732368759914
98,1.1122737887845309,2.0034795180755616,0.06369582978217503
99,1.1134500784494856,2.0035371898640393,0.06379410885692849
